1위,ON,방탄소년단
2위,00:00 (Zero O’Clock),방탄소년단
3위,친구,방탄소년단
4위,Black Swan,방탄소년단
5위,Filter,방탄소년단
6위,시차,방탄소년단
7위,Moon,방탄소년단
8위,Inner Child,방탄소년단
9위,We are Bulletproof : the Eternal,방탄소년단
10위,Louder than bombs,방탄소년단
